word	time	filler
Plains		5
Spectra		5
"""Enbridge"		6
Centra		5
"""Subject"		5
TQM		5
ARC		5
Ruger		8
Enbridge		8
Bonavista		5
Pouce		5
Lone		8
Yoho		8
Kaiser		5
ExxonMobil		8
Pine		5
Enbridge		5
Westcoast		5
Foothills		5
"""Subject"		5
Veresen		5
Tamarack		8
Keyera		8
Terra		8
Penn		8
M&NP		5
"Husky,"		5
Sunoco		5
TransCanada		5
Alliance		5
Enbridge		5
Centra		5
Murphy		5
Portal		5
ATCO		5
AltaGas		8
Spectra		5
Union		5
Mid-Continent		5
"""TQM"		8
"""Subject"		5
DR		5
Bonavista		8
Enbridge		5
Yoho		5
Souris		5
"""Subject"		5
"""Subject"		8
"""Westcoast"		5
ISH		5
Vantage		5
2193914		8
Express		5
Enbridge		5
ONEOK		5
"""Subject"		5
Champion		5
"Husky,"		5
Sunoco		5
Keystone		5
"""TransCanada"		5
TAQA		5
"""Alliance"		5
NuVista		5
Veresen		8
Enbridge		8
"""Subject"		5
Murphy		5
Talisman		5
The		8
Pengrowth		5
"""Keyera"		8
Terra		8
TQM		8
ONEOK		5
TNPI		5
Enbridge		8
Keystone		5
AltaGas		5
Vector		5
Mid-Continent		5
DR		8
"""TNPI"		8
Imperial		8
Express		8
Plains		5
ISH		5
"""Subject"		5
"""Subject"		5
Enbridge		5
"""Subject"		5
ARC		5
Strategic		8
Omimex		8
"""Keystone"		5
TransCanada		5
TAQA		5
Alliance		5
NuVista		5
"""Enbridge"		8
Harvest		5
"""Foothills"		5
St.		5
Bellatrix		5
Enbridge		5
Enbridge		1
Enbridge		1
Enbridge		5
On		1
At		6
Suspend		6
Within		6
Maintain		6
Within		6
Alliance		3
Alliance		0
		0
Within		0
Unless		0
Enbridge		7
Unless		0
Enbridge		7
Within		0
Unless		0
Enbridge		7
"""If"		0
"""Enbridge"		2
"""Enbridge"		5
Enbridge		0
"""Enbridge"		0
Enbridge		2
Unless		2
Enbridge		7
Within		2
NGTL		0
NGTL		5
Unless		2
Enbridge		7
Enbridge		0
Enbridge		2
Unless		3
Within		7
Enbridge		0
Unless		3
Enbridge		7
Enbridge		1
Enbridge		6
Enbridge		4
Within		4
Enbridge		5
Within		1
Within		1
Within		1
At		5
The		1
Enbridge		5
Enbridge		1
"""Pembina"		6
Enbridge		5
Enbridge		3
Unless		3
Enbridge		7
Enbridge		5
Enbridge		5
NGTL		5
NGTL		5
This		0
Unless		7
Within		7
NGTL		0
Unless		3
COMPANY		7
COMPANY		0
Within		3
COMPANY		0
The		2
Unless		3
Unless		7
Within		7
a)		3
Enerplus		2
Enerplus		0
Unless		0
Enerplus		7
Enerplus		2
Enerplus		5
Enerplus		0
Westcoast		0
Westcoast		5
Enbridge		5
Within		0
Enbridge		0
Unless		2
NGTL		1
Unless		3
NGTL		7
NGTL		0
NGTL		5
Unless		2
Enbridge		7
Within		3
Enbridge		0
Unless		0
Westcoast		7
		5
Westcoast		0
Westcoast		0
Unless		3
Westcoast		7
AltaGas		2
AltaGas		3
AltaGas		2
a)		0
AltaGas		2
AltaGas		3
AltaGas		2
Unless		0
AltaGas		7
AltaGas		0
Within		8
Keyera		0
Keyera		0
Keyera		0
By		0
By		5
IORL		5
By		5
